Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
5,BRISK,FREAK,MAT_BF,SEL_KNN,409.205,2695,279,49.0462,1.76151,161,
6,BRISK,FREAK,MAT_BF,SEL_KNN,409.556,2715,289,49.6552,1.73244,183,
7,BRISK,FREAK,MAT_BF,SEL_KNN,418.312,2628,272,48.9183,1.72721,169,
8,BRISK,FREAK,MAT_BF,SEL_KNN,410.688,2639,266,48.6839,1.64546,178,
9,BRISK,FREAK,MAT_BF,SEL_KNN,412.334,2672,254,48.9844,1.49245,168,

0,BRISK,SIFT,MAT_BF,SEL_KNN,410.849,2757,264,69.4678,4.94066e-324,-1310888880,
1,BRISK,SIFT,MAT_BF,SEL_KNN,410.188,2777,282,67.6352,3.51568,182,
2,BRISK,SIFT,MAT_BF,SEL_KNN,408.644,2741,282,67.2463,3.71348,193,
3,BRISK,SIFT,MAT_BF,SEL_KNN,411.438,2735,277,68.8893,3.65784,169,
4,BRISK,SIFT,MAT_BF,SEL_KNN,410.845,2757,297,69.0334,3.82273,183,
5,BRISK,SIFT,MAT_BF,SEL_KNN,409.921,2695,279,68.0987,3.82399,171,
6,BRISK,SIFT,MAT_BF,SEL_KNN,408.951,2715,289,67.9834,3.72562,195,
7,BRISK,SIFT,MAT_BF,SEL_KNN,411.112,2628,272,79.333,3.69014,194,
8,BRISK,SIFT,MAT_BF,SEL_KNN,410.639,2639,266,67.9402,3.42221,176,
9,BRISK,SIFT,MAT_BF,SEL_KNN,411.041,2672,254,62.9024,3.21189,183,

0,ORB,BRISK,MAT_BF,SEL_KNN,9.78559,500,92,1.31562,4.94066e-324,-1310888880,
1,ORB,BRISK,MAT_BF,SEL_KNN,9.47859,500,102,1.40796,0.326975,73,
2,ORB,BRISK,MAT_BF,SEL_KNN,8.711,500,106,1.35353,0.360014,74,
3,ORB,BRISK,MAT_BF,SEL_KNN,8.83952,500,113,1.46171,0.382255,79,
4,ORB,BRISK,MAT_BF,SEL_KNN,8.79559,500,109,1.42561,0.445254,85,
5,ORB,BRISK,MAT_BF,SEL_KNN,8.83475,500,125,1.65976,0.427325,79,
6,ORB,BRISK,MAT_BF,SEL_KNN,9.06301,500,130,1.63078,0.469864,92,
7,ORB,BRISK,MAT_BF,SEL_KNN,8.86062,500,129,1.62883,0.498926,90,
8,ORB,BRISK,MAT_BF,SEL_KNN,8.78377,500,127,1.65742,0.498961,88,
9,ORB,BRISK,MAT_BF,SEL_KNN,8.87076,500,128,1.88948,0.552728,91,

0,ORB,BRIEF,MAT_BF,SEL_KNN,8.92321,500,92,0.631232,4.94066e-324,-1310888880,
1,ORB,BRIEF,MAT_BF,SEL_KNN,10.9086,500,102,0.657068,0.346669,49,
2,ORB,BRIEF,MAT_BF,SEL_KNN,8.28084,500,106,1.05867,0.378436,43,
3,ORB,BRIEF,MAT_BF,SEL_KNN,7.88459,500,113,0.696928,0.393406,45,
4,ORB,BRIEF,MAT_BF,SEL_KNN,9.30372,500,109,0.726073,0.402558,59,
5,ORB,BRIEF,MAT_BF,SEL_KNN,8.02173,500,125,0.712286,0.432749,53,
6,ORB,BRIEF,MAT_BF,SEL_KNN,8.79238,500,130,0.728363,0.498098,78,
7,ORB,BRIEF,MAT_BF,SEL_KNN,8.88429,500,129,0.751759,0.500246,68,
8,ORB,BRIEF,MAT_BF,SEL_KNN,8.02869,500,127,0.692957,0.495263,84,
9,ORB,BRIEF,MAT_BF,SEL_KNN,9.40133,500,128,1.21393,0.810197,66,

0,ORB,ORB,MAT_BF,SEL_KNN,7.97976,500,92,5.18968,4.94066e-324,-1310888880,
1,ORB,ORB,MAT_BF,SEL_KNN,8.01295,500,102,5.26781,0.347108,67,
2,ORB,ORB,MAT_BF,SEL_KNN,9.24524,500,106,5.1804,0.359768,70,
3,ORB,ORB,MAT_BF,SEL_KNN,7.88575,500,113,6.36065,0.489589,72,
4,ORB,ORB,MAT_BF,SEL_KNN,7.90175,500,109,5.07668,0.403806,84,
5,ORB,ORB,MAT_BF,SEL_KNN,8.14669,500,125,5.10882,0.457577,91,
6,ORB,ORB,MAT_BF,SEL_KNN,9.12087,500,130,6.89177,0.503573,101,
7,ORB,ORB,MAT_BF,SEL_KNN,7.81166,500,129,5.87948,0.836259,92,
8,ORB,ORB,MAT_BF,SEL_KNN,7.94128,500,127,5.24819,0.492126,93,
9,ORB,ORB,MAT_BF,SEL_KNN,8.57806,500,128,5.13153,0.498885,93,

0,ORB,FREAK,MAT_BF,SEL_KNN,8.40269,500,92,48.9433,4.94066e-324,-1310888880,
1,ORB,FREAK,MAT_BF,SEL_KNN,10.5545,500,102,46.1077,0.209211,42,
2,ORB,FREAK,MAT_BF,SEL_KNN,8.77042,500,106,46.1852,0.223325,36,
3,ORB,FREAK,MAT_BF,SEL_KNN,10.6422,500,113,47.4491,0.214428,44,
4,ORB,FREAK,MAT_BF,SEL_KNN,8.58149,500,109,45.6482,0.255008,47,
5,ORB,FREAK,MAT_BF,SEL_KNN,8.56642,500,125,47.9211,0.239661,44,
6,ORB,FREAK,MAT_BF,SEL_KNN,8.90152,500,130,46.8484,0.262057,51,
7,ORB,FREAK,MAT_BF,SEL_KNN,8.53238,500,129,45.5778,0.269296,52,
8,ORB,FREAK,MAT_BF,SEL_KNN,8.56592,500,127,46.5219,0.297669,48,
9,ORB,FREAK,MAT_BF,SEL_KNN,11.0259,500,128,47.034,0.27227,56,

0,ORB,SIFT,MAT_BF,SEL_KNN,8.66475,500,92,71.3747,4.94066e-324,-1310888880,
1,ORB,SIFT,MAT_BF,SEL_KNN,8.90742,500,102,68.3366,0.549464,67,
2,ORB,SIFT,MAT_BF,SEL_KNN,7.82764,500,106,78.3569,0.610075,79,
3,ORB,SIFT,MAT_BF,SEL_KNN,8.59677,500,113,77.5851,0.70188,78,
4,ORB,SIFT,MAT_BF,SEL_KNN,8.69525,500,109,70.6236,0.702334,79,
5,ORB,SIFT,MAT_BF,SEL_KNN,8.72747,500,125,78.9961,0.750506,82,
6,ORB,SIFT,MAT_BF,SEL_KNN,8.97788,500,130,81.4168,0.871135,95,
7,ORB,SIFT,MAT_BF,SEL_KNN,8.78004,500,129,84.2165,0.88633,95,
8,ORB,SIFT,MAT_BF,SEL_KNN,8.92864,500,127,89.3789,0.83618,94,
9,ORB,SIFT,MAT_BF,SEL_KNN,8.81658,500,128,85.9955,0.883069,94,

0,AKAZE,BRISK,MAT_BF,SEL_KNN,113.692,1351,166,2.13236,4.94066e-324,-1310888880,
